trade_date,open,close,high,low,vol,amount,振幅,pct_chg,change,换手率
2024-07-02,357.2,359.4,366.4,355.4,27266647,10065077760.0,3.03,-0.88,-3.2,0.29
2024-07-03,357.0,369.6,371.0,357.0,22256951,8344723456.0,3.9,2.84,10.2,0.24
2024-07-04,377.0,372.6,377.0,368.8,15437093,5903308288.0,2.22,0.81,3.0,0.17
2024-07-05,375.0,370.0,375.8,369.0,10522095,4013583392.0,1.83,-0.7,-2.6,0.11
2024-07-08,372.0,368.8,373.4,365.8,11623215,4404429824.0,2.05,-0.32,-1.2,0.12
2024-07-09,367.2,371.2,372.4,366.2,13024401,4937581824.0,1.68,0.65,2.4,0.14
2024-07-10,375.4,367.8,376.0,367.0,15586645,5939592192.0,2.42,-0.92,-3.4,0.17
2024-07-11,369.6,375.0,376.2,368.4,16590064,6361566208.0,2.12,1.96,7.2,0.18
2024-07-12,381.0,387.2,387.4,379.4,27521352,10843285248.0,2.13,3.25,12.2,0.29
2024-07-15,383.4,380.4,387.2,378.8,13680185,5356488192.0,2.17,-1.76,-6.8,0.15
2024-07-16,376.2,368.2,377.6,368.0,19061149,7266853632.0,2.52,-3.21,-12.2,0.2
2024-07-17,365.2,362.0,367.6,358.6,25857823,9626459904.0,2.44,-1.68,-6.2,0.28
2024-07-18,358.2,359.4,361.8,357.2,18944747,7004246016.0,1.27,-0.72,-2.6,0.2
2024-07-19,356.8,354.2,358.6,353.2,23088518,8436931072.0,1.5,-1.45,-5.2,0.25
2024-07-22,357.4,363.4,366.0,355.6,16960926,6308844544.0,2.94,2.6,9.2,0.18
2024-07-23,365.2,356.4,366.6,356.2,12104461,4468644096.0,2.86,-1.93,-7.0,0.13
2024-07-24,356.0,353.4,359.8,350.8,11800216,4296613376.0,2.53,-0.84,-3.0,0.13
2024-07-25,350.4,341.4,351.8,341.2,25787277,9109434880.0,3.0,-3.4,-12.0,0.28
2024-07-26,343.0,344.6,348.6,342.6,13267324,4713926912.0,1.76,0.94,3.2,0.14
2024-07-29,350.0,348.4,352.2,344.0,12872249,4621511168.0,2.38,1.1,3.8,0.14
2024-07-30,345.6,343.8,347.8,342.6,9749595,3449679968.0,1.49,-1.32,-4.6,0.1
2024-07-31,342.4,352.4,357.0,341.2,20304313,7342932736.0,4.6,2.5,8.6,0.22
2024-08-01,354.0,355.8,358.8,353.8,12412285,4542267392.0,1.42,0.96,3.4,0.13
2024-08-02,351.0,348.4,355.6,346.4,17707597,6362989312.0,2.59,-2.08,-7.4,0.19
2024-08-05,342.2,346.8,354.4,339.2,22963458,8149878016.0,4.36,-0.46,-1.6,0.25
2024-08-06,350.8,344.6,353.6,339.6,17674374,6271399936.0,4.04,-0.63,-2.2,0.19
2024-08-07,345.4,353.6,355.6,345.4,15840290,5741644800.0,2.96,2.61,9.0,0.17
2024-08-08,351.4,358.4,364.6,349.6,18811540,6937668096.0,4.24,1.36,4.8,0.2
2024-08-09,361.6,360.2,366.2,358.6,16353916,6076519168.0,2.12,0.5,1.8,0.18
2024-08-12,362.2,365.2,366.8,360.2,10215275,3820531728.0,1.83,1.39,5.0,0.11
2024-08-13,366.2,368.8,370.8,365.8,13590391,5139849728.0,1.37,0.99,3.6,0.15
2024-08-14,368.8,364.0,369.6,359.6,18692686,6972998400.0,2.71,-1.3,-4.8,0.2
2024-08-15,356.4,358.6,365.0,354.4,21443850,7911688704.0,2.91,-1.48,-5.4,0.23
2024-08-16,362.2,362.8,365.4,359.0,16414338,6118049536.0,1.78,1.17,4.2,0.18
2024-08-19,367.8,362.8,367.8,361.4,15210162,5682955520.0,1.76,0.0,0.0,0.16
2024-08-20,363.0,360.6,364.0,359.2,11852608,4396264704.0,1.32,-0.61,-2.2,0.13
2024-08-21,357.6,361.8,364.0,355.4,11647083,4321314048.0,2.38,0.33,1.2,0.12
2024-08-22,365.0,368.0,368.0,361.4,16786859,6292362496.0,1.82,1.71,6.2,0.18
2024-08-23,367.2,365.8,368.8,363.8,13055635,4915768320.0,1.36,-0.6,-2.2,0.14
2024-08-26,368.2,372.2,375.0,367.8,16251125,6187193088.0,1.97,1.75,6.4,0.17
2024-08-27,368.2,372.0,372.8,367.4,13675535,5201725440.0,1.45,-0.05,-0.2,0.15
2024-08-28,373.2,364.4,373.2,362.6,14602521,5488468992.0,2.85,-2.04,-7.6,0.16
2024-08-29,360.2,367.8,368.2,359.2,12890430,4823697920.0,2.47,0.93,3.4,0.14
2024-08-30,367.8,372.2,375.8,367.0,30873303,11814702080.0,2.39,1.2,4.4,0.33
2024-09-02,370.2,368.0,373.4,366.6,13878671,5266962688.0,1.83,-1.13,-4.2,0.15
2024-09-03,368.2,368.4,371.6,365.0,9814885,3712928880.0,1.79,0.11,0.4,0.11
2024-09-04,364.4,363.0,366.8,361.4,13278870,4953267456.0,1.47,-1.47,-5.4,0.14
2024-09-05,360.6,363.6,366.8,360.6,9576319,3573609648.0,1.71,0.17,0.6,0.1
2024-09-09,360.2,361.4,361.4,355.4,20078164,7403940608.0,1.65,-0.61,-2.2,0.21
2024-09-10,359.4,358.8,360.8,356.2,12303441,4541788160.0,1.27,-0.72,-2.6,0.13
2024-09-11,356.8,360.4,360.8,355.2,12043623,4427792896.0,1.56,0.45,1.6,0.13
2024-09-12,361.2,362.8,367.2,359.8,13800366,5155819264.0,2.05,0.67,2.4,0.15
2024-09-13,363.0,365.0,367.0,363.0,11013765,4126159328.0,1.1,0.61,2.2,0.12
2024-09-16,362.8,368.0,368.0,360.6,7689238,2888661600.0,2.03,0.82,3.0,0.08
2024-09-17,362.2,370.2,371.6,362.2,10147851,3843832272.0,2.55,0.6,2.2,0.11
2024-09-19,369.8,379.0,380.0,366.8,25801963,9956352000.0,3.57,2.38,8.8,0.28
2024-09-20,380.2,378.8,383.6,374.0,28407069,11037803008.0,2.53,-0.05,-0.2,0.3
2024-09-23,378.2,377.8,382.2,375.4,15223032,5901921792.0,1.8,-0.26,-1.0,0.16
2024-09-24,383.2,392.4,392.4,379.6,42919010,17036649472.0,3.39,3.86,14.6,0.46
2024-09-25,408.2,395.6,408.2,391.6,40112126,16419449344.0,4.23,0.82,3.2,0.43
2024-09-26,398.2,420.2,420.2,397.0,50254878,21170861568.0,5.86,6.22,24.6,0.54
2024-09-27,433.4,428.0,435.0,422.8,57154793,25050353664.0,2.9,1.86,7.8,0.61
2024-09-30,439.8,434.8,447.6,424.4,75459468,33640909824.0,5.42,1.59,6.8,0.81
2024-10-02,440.2,460.2,469.8,439.4,48766943,22740694528.0,6.99,5.84,25.4,0.52
2024-10-03,461.2,456.4,466.8,443.4,31600782,14666391296.0,5.08,-0.83,-3.8,0.34
2024-10-04,460.2,467.8,469.2,452.4,24663665,11687744256.0,3.68,2.5,11.4,0.27
2024-10-07,470.0,468.6,472.6,459.8,25334387,12100493312.0,2.74,0.17,0.8,0.27
2024-10-08,462.2,428.8,467.0,428.8,70468024,31910928640.0,8.15,-8.49,-39.8,0.76
2024-10-09,439.2,424.4,443.2,414.2,46372903,20395255808.0,6.76,-1.03,-4.4,0.5
2024-10-10,428.2,429.0,438.8,426.6,33111230,14647696640.0,2.87,1.08,4.6,0.36
2024-10-14,431.0,426.2,431.0,414.2,30316807,13164335616.0,3.92,-0.65,-2.8,0.33
2024-10-15,424.0,407.2,424.0,402.8,33478410,14096594688.0,4.97,-4.46,-19.0,0.36
2024-10-16,405.2,406.0,416.0,402.8,22490256,9408091904.0,3.24,-0.29,-1.2,0.24
2024-10-17,408.2,402.8,417.0,400.2,16476899,6891360512.0,4.14,-0.79,-3.2,0.18
2024-10-18,402.8,421.0,425.8,401.6,25963857,11032073984.0,6.01,4.52,18.2,0.28
2024-10-21,420.8,411.2,421.6,409.4,16334100,6931274496.0,2.9,-2.33,-9.8,0.18
2024-10-22,413.4,411.8,413.8,408.2,11027704,4640118272.0,1.36,0.15,0.6,0.12
2024-10-23,413.2,418.4,422.4,406.8,14656951,6257381376.0,3.79,1.6,6.6,0.16
2024-10-24,415.2,412.2,415.8,409.8,11202752,4728256768.0,1.43,-1.48,-6.2,0.12
2024-10-25,417.8,411.2,417.8,408.8,11951879,5042478336.0,2.18,-0.24,-1.0,0.13
2024-10-28,411.2,407.4,412.4,403.8,15551935,6490536192.0,2.09,-0.92,-3.8,0.17
2024-10-29,409.6,408.6,413.6,405.4,13797786,5779088128.0,2.01,0.29,1.2,0.15
