日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-07-04,1818.74,1816.73,1823.02,1799.74,25076,5042804224.0,1.27,-0.6,-11.05,0.2
2022-07-05,1824.01,1831.74,1853.18,1808.73,26329,5345189888.0,2.45,0.83,15.01,0.21
2022-07-06,1830.73,1800.73,1837.73,1784.73,32752,6566374912.0,2.89,-1.69,-31.01,0.26
2022-07-07,1803.73,1788.73,1808.08,1783.74,20932,4179088240.0,1.35,-0.67,-12.0,0.17
2022-07-08,1803.73,1797.73,1813.62,1794.89,15644,3134903456.0,1.05,0.5,9.0,0.12
2022-07-11,1788.93,1762.33,1793.5,1749.23,23949,4709248256.0,2.46,-1.97,-35.4,0.19
2022-07-12,1763.73,1747.14,1771.53,1728.79,23447,4562731381.0,2.43,-0.86,-15.19,0.19
2022-07-13,1743.73,1757.62,1770.73,1739.4,19854,3893406034.0,1.79,0.6,10.48,0.16
2022-07-14,1758.73,1751.73,1775.53,1739.73,20527,4014985518.0,2.04,-0.34,-5.89,0.16
2022-07-15,1743.84,1748.23,1798.41,1743.24,33416,6588730699.0,3.15,-0.2,-3.5,0.27
2022-07-18,1751.09,1750.39,1757.73,1720.73,24221,4701936868.0,2.12,0.12,2.16,0.19
2022-07-19,1743.73,1741.83,1750.38,1724.73,21956,4250852886.0,1.47,-0.49,-8.56,0.17
2022-07-20,1757.48,1748.83,1768.73,1743.73,18705,3659970961.0,1.44,0.4,7.0,0.15
2022-07-21,1741.83,1737.73,1754.63,1733.24,14061,2735503093.0,1.22,-0.63,-11.1,0.11
2022-07-22,1747.95,1745.73,1760.73,1733.73,25114,4894378605.0,1.55,0.46,8.0,0.2
2022-07-25,1748.24,1743.38,1751.03,1729.73,16912,3285451347.0,1.22,-0.13,-2.35,0.13
2022-07-26,1751.72,1748.94,1763.7,1745.75,20685,4041100077.0,1.03,0.32,5.56,0.16
2022-07-27,1740.73,1718.33,1746.73,1715.73,21490,4149807166.0,1.77,-1.75,-30.61,0.17
2022-07-28,1719.83,1696.73,1736.73,1691.39,34870,6669448409.0,2.64,-1.26,-21.6,0.28
2022-07-29,1693.83,1697.17,1717.72,1676.83,37032,7028415881.0,2.41,0.03,0.44,0.29
2022-08-01,1688.74,1689.03,1706.73,1679.91,21037,3988198590.0,1.58,-0.48,-8.14,0.17
2022-08-02,1678.73,1678.71,1686.71,1656.74,28221,5284516568.0,1.77,-0.61,-10.32,0.22
2022-08-03,1688.72,1683.73,1702.73,1675.73,24598,4642442196.0,1.61,0.3,5.02,0.2
2022-08-04,1688.73,1714.74,1721.83,1678.86,30357,5797110733.0,2.55,1.84,31.01,0.24
2022-08-05,1726.53,1722.69,1733.73,1703.63,20086,3857406327.0,1.76,0.46,7.95,0.16
2022-08-08,1713.88,1710.26,1731.61,1706.24,16799,3220702892.0,1.47,-0.72,-12.43,0.13
2022-08-09,1710.26,1708.73,1717.72,1703.73,13875,2651800008.0,0.82,-0.09,-1.53,0.11
2022-08-10,1708.71,1674.73,1716.73,1663.31,27927,5259452686.0,3.13,-1.99,-34.0,0.22
2022-08-11,1684.73,1705.63,1705.73,1676.74,26061,4940834195.0,1.73,1.85,30.9,0.21
2022-08-12,1705.63,1726.73,1728.73,1698.73,20260,3882570566.0,1.76,1.24,21.1,0.16
